step_number	time	timestep	I_lya	inc_photon_flux	nH_boundary	H1_IF_x	H1_IF_v	HI_IF_v_flxMthd	He1_IF_x	He1_IF_v	He3_IF_x	He3_IF_v	width_IF
10930 	2.490194e+01 	3.828448e-03 	1.170685e-08 	3.663874e+04 	1.939282e-04 	3.094860e+25 	2.040190e+08 	1.739198e+08 	3.096069e+25 	1.985611e+08 	0.000000e+00 	0.000000e+00 	1.643840e+22 	
11061 	2.530130e+01 	3.862487e-03 	1.170758e-08 	3.671450e+04 	1.922083e-04 	3.095120e+25 	2.052584e+08 	1.758276e+08 	3.096314e+25 	1.933550e+08 	0.000000e+00 	0.000000e+00 	1.642657e+22 	
11193 	2.570469e+01 	3.902963e-03 	1.172542e-08 	3.675797e+04 	1.934045e-04 	3.095386e+25 	2.099834e+08 	1.749522e+08 	3.096558e+25 	1.927723e+08 	0.000000e+00 	0.000000e+00 	1.628814e+22 	
11324 	2.610443e+01 	3.938645e-03 	1.175558e-08 	3.675352e+04 	1.970257e-04 	3.095646e+25 	2.058067e+08 	1.717344e+08 	3.096798e+25 	1.895273e+08 	0.000000e+00 	0.000000e+00 	1.606012e+22 	
11456 	2.650851e+01 	3.992660e-03 	1.179149e-08 	3.669104e+04 	2.014709e-04 	3.095903e+25 	2.028954e+08 	1.676826e+08 	3.097040e+25 	1.908510e+08 	0.000000e+00 	0.000000e+00 	1.574549e+22 	
11597 	2.690836e+01 	9.476973e-04 	1.182293e-08 	3.665135e+04 	2.056201e-04 	3.096150e+25 	1.948813e+08 	1.641407e+08 	3.097277e+25 	1.869080e+08 	0.000000e+00 	0.000000e+00 	1.542843e+22 	
11736 	2.730972e+01 	1.938469e-03 	1.184772e-08 	3.666111e+04 	2.091699e-04 	3.096395e+25 	1.933105e+08 	1.614128e+08 	3.097516e+25 	1.892823e+08 	0.000000e+00 	0.000000e+00 	1.534257e+22 	
11867 	2.771161e+01 	1.948945e-03 	1.186490e-08 	3.662414e+04 	2.117100e-04 	3.096636e+25 	1.904200e+08 	1.593265e+08 	3.097755e+25 	1.883862e+08 	0.000000e+00 	0.000000e+00 	1.528070e+22 	
11983 	2.811258e+01 	5.193824e-04 	1.187343e-08 	3.660312e+04 	2.130610e-04 	3.096874e+25 	1.877011e+08 	1.582312e+08 	3.097990e+25 	1.851075e+08 	0.000000e+00 	0.000000e+00 	1.523625e+22 	
12110 	2.851442e+01 	4.081061e-03 	1.187894e-08 	3.652444e+04 	2.134278e-04 	3.097114e+25 	1.894106e+08 	1.576230e+08 	3.098222e+25 	1.832436e+08 	0.000000e+00 	0.000000e+00 	1.519758e+22 	
