Gas Data
Time: 0.000000e+00
radius	rho	ne	ne_prev	dne_dt	n_tot	dt	T	vel	nH1	fH1	fHeI	fHII	fHeII	fHeIII	j_lya
5363.437	1.2292942327514063e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.585623152697195e-05	1.0	1.0	0.0	0.0	0.0	0.0
5364.174	1.2580980935519415e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.716501104849007e-05	1.0	1.0	0.0	0.0	0.0	0.0
5364.912	1.2861243164237622e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.8438456536029025e-05	1.0	1.0	0.0	0.0	0.0	0.0
5365.649	1.3129171611009838e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.965586022644374e-05	1.0	1.0	0.0	0.0	0.0	0.0
5366.386	1.3380823564153057e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.079930736745257e-05	1.0	1.0	0.0	0.0	0.0	0.0
5367.123	1.3611030567258581e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.184531371174433e-05	1.0	1.0	0.0	0.0	0.0	0.0
5367.86	1.3813651471636583e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.276597532762216e-05	1.0	1.0	0.0	0.0	0.0	0.0
5368.597	1.3981696479652314e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.35295322226765e-05	1.0	1.0	0.0	0.0	0.0	0.0
5369.334	1.4107728708841533e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.410219295644544e-05	1.0	1.0	0.0	0.0	0.0	0.0
5370.071	1.418449636562947e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.445100708874091e-05	1.0	1.0	0.0	0.0	0.0	0.0
5370.808	1.4205700003525877e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.454735141998413e-05	1.0	1.0	0.0	0.0	0.0	0.0
5371.545	1.416677974622544e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.437050694736368e-05	1.0	1.0	0.0	0.0	0.0	0.0
5372.283	1.4065435138254834e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.391002094360635e-05	1.0	1.0	0.0	0.0	0.0	0.0
5373.02	1.3902789385752907e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.317099699257938e-05	1.0	1.0	0.0	0.0	0.0	0.0
5373.757	1.3682862755676023e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.21717022394407e-05	1.0	1.0	0.0	0.0	0.0	0.0
