skewer,alpha,step,t,dt,F_lya,F_inc,locIF,vIF_fd,vIF_fm,T_center,width_IF,nH_avg,nH_center,C_em
0000,-1.0,18786.0,27.4943,0.0005246493,38988.23,8995.511,263.5029163966301,11532.62,2415.168,30027.24,4.451593e+23,5.357313e-05,3.420912e-05,0.2953298
0000,-1.0,18959.0,27.88895,0.002339823,38978.99,8988.311,268.0719377835376,11378.0,2280.654,29647.17,4.480022e+23,5.325211e-05,3.621417e-05,0.2941257
0000,-1.0,19120.0,28.28043,0.003532462,38993.32,8981.958,272.25210628645436,10415.18,2092.377,29084.58,4.572651e+23,5.22355e-05,3.946987e-05,0.2921065
0000,-1.0,19279.0,28.67243,0.0004308793,39042.21,8980.283,276.04666234607794,9453.208,1920.613,28539.29,4.712741e+23,5.083341e-05,4.301652e-05,0.290087
0000,-1.0,19460.0,29.06547,0.003971414,39132.36,8971.549,279.62410887880833,8914.68,1780.396,28075.05,4.85669e+23,4.938483e-05,4.638102e-05,0.2894652
0000,-1.0,19659.0,29.45881,0.001854941,39253.51,8970.139,282.9358392741415,8247.305,1677.194,27713.67,4.96797e+23,4.81213e-05,4.924427e-05,0.2901456
0000,-1.0,19871.0,29.8521,0.003030607,39391.84,8966.462,286.1049902786781,7897.389,1598.923,27429.95,5.072399e+23,4.715036e-05,5.164726e-05,0.2898292
0000,-1.0,20126.0,30.24355,0.002646665,39521.66,8965.955,289.12508101101776,7523.364,1542.865,27218.04,5.156887e+23,4.634609e-05,5.353083e-05,0.2902186
0000,-1.0,20431.0,30.63701,0.002224461,39619.99,8965.291,292.07712248865755,7349.11,1505.765,27072.98,5.233068e+23,4.56268e-05,5.485252e-05,0.2915222
0000,-1.0,20764.0,31.02961,0.002530912,39663.88,8961.788,294.97731691509944,7226.937,1487.334,26998.61,5.303929e+23,4.491969e-05,5.551399e-05,0.2927236
0000,-1.0,21107.0,31.42213,0.0006866877,39637.97,8959.747,297.848347375244,7154.57,1486.958,26991.78,5.391192e+23,4.44057e-05,5.551546e-05,0.2912487
0000,-1.0,21416.0,31.81484,0.0008701662,39527.97,8954.382,300.75178224238516,7230.854,1498.545,27032.55,5.449066e+23,4.382468e-05,5.505109e-05,0.2923036
0000,-1.0,21685.0,32.20728,0.002922675,39330.63,8945.605,303.68762151652663,7315.626,1509.938,27074.77,5.521971e+23,4.346629e-05,5.458007e-05,0.2888764
0000,-1.0,21686.0,32.2102,0.003034847,39328.76,8945.428,303.7103046014254,56.096,1509.97,27074.95,5.522856e+23,4.346629e-05,5.457781e-05,0.2888659
0000,-1.0,21940.0,32.60083,0.002521566,39046.56,8939.871,306.6137394685684,7228.728,1504.075,27050.24,5.564319e+23,4.306192e-05,5.475877e-05,0.2873473
0000,-1.0,22175.0,32.9957,0.003443318,38683.91,8932.405,309.4977316915101,7188.906,1466.545,26906.02,5.601764e+23,4.27351e-05,5.612025e-05,0.2855359
0000,-1.0,22637.0,33.77867,0.003482846,37831.44,8919.025,314.83797796500403,13302.25,1329.087,26358.35,5.665186e+23,4.233799e-05,6.186008e-05,0.2774014
0000,-1.0,22865.0,34.17318,0.002505303,37402.85,8913.801,317.32015554115424,6180.607,1263.895,26084.83,5.674079e+23,4.214973e-05,6.502697e-05,0.2749899
0000,-1.0,23073.0,34.56436,0.003120582,37029.28,8907.116,319.6921581335064,5909.787,1218.409,25888.13,5.685204e+23,4.205858e-05,6.741423e-05,0.2715168
0000,-1.0,23279.0,34.9591,0.003016345,36741.28,8901.673,322.03175631886006,5824.578,1198.5,25797.91,5.702237e+23,4.199881e-05,6.849678e-05,0.2688237
0000,-1.0,23474.0,35.34999,0.001098678,36561.3,8899.106,324.33895009721346,5752.696,1209.163,25838.58,5.703594e+23,4.193427e-05,6.787077e-05,0.268406
0000,-1.0,23666.0,35.74325,0.003179343,36482.62,8892.425,326.7595593000642,6027.543,1256.871,26039.72,5.718851e+23,4.188397e-05,6.523505e-05,0.2690809
0000,-1.0,23849.0,36.13519,0.003991702,36485.9,8886.79,329.32922877511373,6405.572,1356.127,26447.02,5.722471e+23,4.180177e-05,6.040209e-05,0.2700294
0000,-1.0,24047.0,36.52793,0.001902632,36539.72,8883.654,332.1775761503577,7089.029,1532.154,27127.93,5.704719e+23,4.18195e-05,5.341216e-05,0.2735658
